,ward,sect,block,lot,propertyAddress,lotSize,cityTax,stateTax,resCode,amountDue,asOfDate,Latitude,Longitude
48300,8,150,1521 ,013 ,2524 E PRESTON ST                ,14X80            ,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30587790574185,-76.58185179052691
60771,2,10,1747 ,036 ,116 S CHESTER ST                 ,14X102           ,$5386.21,$268.35,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29013755310666,-76.58735537794752
145970,28,10,4256 ,149 ,4158 CRESTHEIGHTS ROAD           ,18X100           ,$2408.35,$119.99,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.360303044950626,-76.71032010938472
145016,27,230,4218H,001 ,3900 LABYRINTH ROAD              ,51X142-3         ,$3380.99,$168.45,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36141611696132,-76.70591211115419
216878,25,60,7027D,049 ,3824 LEADENHALL ST               ,21X74            ,$1463.45,$72.91,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.236048083153605,-76.61404812591945
236818,28,30,8349 ,001 ,3200 MILFORD AVE                 ,50X120-5         ,$2870.70,$143.02,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32725821179815,-76.700532068999
173774,27,430,5217 ,050 ,ES 20 FT ALLEY                   ,10X22-6          ,$24.73,$1.23,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.27262269328378,-76.6151301848094
10047,20,140,0190 ,019 ,2140 W BALTIMORE ST              ,15X100           ,$1211.67,$60.37,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28798833349589,-76.65132146791063
114040,13,30,3523 ,074 ,3553 SWEET AIR ST                ,12X62            ,$2585.20,$128.80,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32947036956301,-76.63787718967978
74291,24,100,2020 ,073 ,1445 HULL ST                     ,0.027 ACRES      ,$7328.48,$365.12,PRINCIPAL RESIDENCE      ,,03/25/2015,39.26955446276935,-76.59338228356472
227216,25,20,7755 ,066J,3021 GEORGETOWN ROAD             ,14X100           ,$2699.85,$134.51,PRINCIPAL RESIDENCE      ,,03/25/2015,39.26319888012529,-76.66242887669051
209764,26,170,6353 ,016 ,6900 CONLEY ST                   ,36-7X100-4       ,$2205.29,$109.87,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.2898776418408,-76.53048730774225
181094,27,310,5409A,019 ,2402 HAMILTON AVE                ,50-8X136-8       ,$3592.30,$178.98,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35633794484136,-76.56785622248589
46441,8,180,1479 ,087 ,1501 1/2 N CHAPEL ST             ,11-8X52          ,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,03/25/2015,39.30771315493922,-76.59077699436199
12224,18,70,0234 ,016 ,1131 HOLLINS ST                  ,13X65            ,$517.04,$25.76,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28732282079261,-76.63617902683984
207541,26,130,6294 ,027 ,251 S BOULDIN ST                 ,15X70            ,$4698.32,$234.08,PRINCIPAL RESIDENCE      ,,03/25/2015,39.2886130520518,-76.57084578210635
88130,16,200,2448 ,045 ,1127 ELLICOTT DRIVEWAY           ,24-1X104-6       ,$1440.97,$71.79,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29058294954456,-76.60925984306652
68943,1,80,1877 ,107 ,931 S BELNORD AVE                ,11-6X43          ,$2697.60,$134.40,PRINCIPAL RESIDENCE      ,,03/25/2015,39.2815325160139,-76.57739484129809
197898,26,220,6017 ,007 ,5619 GREENHILL AVE               ,64X144-8         ,$3167.43,$157.81,PRINCIPAL RESIDENCE      ,,03/25/2015,39.339376126707975,-76.54423345510907
63444,2,70,1782 ,043 ,1915 EASTERN AVE                 ,21X42-8          ,$3007.82,$149.86,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.285743541132604,-76.58957919092614
229320,25,30,7898 ,016 ,ES MAISEL ST                     ,0.031 ACRES      ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,,
220113,25,90,7190 ,004 ,1622 CHERRY ST                   ,14X100           ,$1348.80,$67.20,PRINCIPAL RESIDENCE      ,,03/25/2015,39.222307763393644,-76.58720269464783
1415,15,140,0023A,006 ,1512 N STRICKER ST               ,12-10X60         ,$1011.60,$50.40,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30606905124682,-76.64197632564611
230502,28,50,7993B,014 ,827 N CHAPELGATE LANE            ,20X112-8         ,$2484.04,$123.76,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29448261318316,-76.70748906067081
30446,22,60,0861 ,061 ,608 WARNER ST                    ,19-6X36-10       ,$5505.35,$274.29,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28312927849447,-76.62385248360442
177818,27,290,5288D,220 ,2114 WESTFIELD AVE               ,31-9X105         ,$2767.29,$137.87,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36464810502713,-76.5708889063971
77133,20,70,2165 ,027 ,7 N CATHERINE ST                 ,13-5X65          ,$382.16,$19.04,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.288203954949665,-76.65645558505639
216070,26,10,6830 ,004 ,1306 BONSAL ST                   ,16X103-1         ,$2003.71,$99.83,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27911056440212,-76.54469616709366
28229,21,40,0768 ,075 ,1223 JAMES ST                    ,12X65            ,$2704.34,$134.74,PRINCIPAL RESIDENCE      ,,03/25/2015,39.282117606843144,-76.6353724869499
84935,16,70,2377B,004 ,2806 EDMONDSON AVE               ,14X85            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29448844079002,-76.6632319200163
224842,25,50,7612J,072 ,3005 LARUE SQUARE EAST           ,16-2X90-7        ,$2535.74,$126.34,PRINCIPAL RESIDENCE      ,,03/25/2015,39.25031392534845,-76.61626680107122
80875,20,190,2275C,042F,3444 W CATON AVE                 ,14X95            ,$2007.46,$100.02,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.286944027246136,-76.67450250268757
131403,9,220,3972N,003 ,3805 YOLANDO ROAD                ,20X97-6          ,$2705.09,$134.77,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33426065790411,-76.6001551228598
2603,16,50,0049 ,062 ,1904 RIGGS AVE                   ,13X80            ,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,03/25/2015,39.300908127109494,-76.6481815560332
226656,25,10,7654G,202 ,3653 GREENVALE ROAD              ,32-6X136         ,$2158.08,$107.52,PRINCIPAL RESIDENCE      ,,03/25/2015,39.264907533556936,-76.67612141007419
96246,15,280,2835 ,011 ,3903 BATEMAN AVE                 ,50X152-2         ,$4453.29,$221.87,PRINCIPAL RESIDENCE      ,,03/25/2015,39.31786411763602,-76.6832497333877
22204,11,10,0484 ,450 ,1209 N CHARLES ST U# S-42        ,24 SQ FT         ,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,03/25/2015,39.3040934943204,-76.61608545547858
71853,24,130,1924C,019 ,502 E CLEMENT ST                 ,12X67-9          ,$4053.14,$201.94,PRINCIPAL RESIDENCE      ,,03/25/2015,39.2739985921624,-76.60642212587959
80338,20,180,2252A,028A,36 S CULVER ST                   ,14X110           ,$1760.18,$87.70,NOT A PRINCIPAL RESIDENCE,$2075.37,03/25/2015,39.28549295403769,-76.67797109159181
227232,25,20,7755 ,068 ,3201 GEORGETOWN ROAD             ,54X102           ,$2715.58,$135.30,PRINCIPAL RESIDENCE      ,,03/25/2015,39.262248981106666,-76.66338809988008
44100,8,30,1447 ,117 ,1823 N DURHAM ST                 ,12-6X55          ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.31148289352183,-76.59228552975259
17531,14,70,0320 ,093 ,1938 BRUNT ST                    ,11-10X60         ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30603758216978,-76.63675945558361
104043,28,10,3196E,003 ,4804 REISTERSTOWN ROAD           ,22-1X93          ,$1688.99,$84.15,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.341644229498684,-76.6761179135101
77549,20,60,2171 ,022 ,2543 W BALTIMORE ST              ,13-9X80          ,$382.16,$19.04,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28767364272551,-76.65729942163023
116152,13,160,3567 ,011 ,1328 MORLING AVE                 ,25X100           ,$3286.58,$163.74,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33397743621083,-76.63876531696502
37684,8,60,1126 ,004 ,1507 N CAROLINE ST               ,15X80            ,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30757373753903,-76.5981352761213
206927,26,160,6282 ,019 ,3922 MOUNT PLEASANT AVE          ,13X69            ,$1724.22,$85.90,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29101752084301,-76.56393191472529
11616,18,100,0219 ,071 ,924 W LOMBARD ST                 ,15-6X70          ,$4185.78,$208.54,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28684845449368,-76.63278153473925
147362,27,230,4314 ,014 ,6114 GIST AVE                    ,35X150           ,$2740.31,$136.53,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35598479276507,-76.69414385175656
185742,27,40,5603 ,016A,6307 EVERALL AVE                 ,45X166           ,$2884.18,$143.70,PRINCIPAL RESIDENCE      ,$5.67,03/25/2015,39.35360363440128,-76.53689533884801
155935,27,170,4652B,064 ,6319 GREEN MEADOW PKWY           ,85X149-5         ,$6386.57,$318.19,PRINCIPAL RESIDENCE      ,,03/25/2015,39.370757763561016,-76.67582420302375
186216,27,40,5610 ,056 ,6302 EASTERN PKWY                ,59X191-10        ,$3392.97,$169.04,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35737758900564,-76.54716473866097
216522,26,10,6992 ,021 ,6529 BALTIMORE AVE               ,25X115           ,$386.66,$19.26,NOT A PRINCIPAL RESIDENCE,$453.44,03/25/2015,39.258253577441735,-76.53059919779395
218237,25,60,7094 ,019 ,3708 7TH ST                      ,30X100           ,$1800.65,$89.71,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.234332437493094,-76.60151295435855
220041,25,90,7186 ,001 ,1400 CEDDOX ST                   ,13.92 ACRES      ,$42583.86,$2121.62,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.22101753213451,-76.59047314491892
117688,13,10,3594A,063 ,ES ELM AV 200-2 FT S OF          ,21-4X26          ,$168.60,$8.40,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29058294954456,-76.60925984306652
102161,15,240,3109 ,019 ,3416 DENNLYN ROAD                ,50-7X120         ,$4118.34,$205.18,PRINCIPAL RESIDENCE      ,,03/25/2015,39.324885212083984,-76.66778094633281
10795,18,100,0202 ,100 ,23 N AMITY ST                    ,14X40            ,$74.18,$3.70,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28946322614803,-76.6330180015787
185289,27,40,5570A,004 ,3306 ROSALIE AVE                 ,75X228-8         ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.36497678205393,-76.5402706860425
151159,28,10,4502 ,066 ,5415 LYNVIEW AVE                 ,26-10X76-7       ,$2101.88,$104.72,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34515594269368,-76.69045614573372
52471,7,190,1610 ,003 ,805 N LUZERNE AVE                ,13-9X70          ,$644.43,$32.11,PRINCIPAL RESIDENCE      ,,03/25/2015,39.30014237956823,-76.58092520193571
25941,4,70,0617 ,025 ,513 W LEXINGTON ST               ,19X100           ,$3538.35,$176.29,NOT A PRINCIPAL RESIDENCE,$9.27,03/25/2015,39.29138349455371,-76.62318930194391
91595,28,50,2527 ,113 ,4235 ROKEBY ROAD                 ,18X104-6         ,$2205.29,$109.87,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29908292154067,-76.68802953203647
236960,28,30,8358 ,012 ,4211 SPRINGDALE AVE              ,50X192-6         ,$3801.37,$189.39,PRINCIPAL RESIDENCE      ,$4126.72,03/25/2015,39.32714399070369,-76.69074869069874
219377,25,60,7135 ,006 ,4110 6TH ST                      ,16X131-9         ,$2122.11,$105.73,PRINCIPAL RESIDENCE      ,,03/25/2015,39.230191993866526,-76.60254505590882
68870,1,80,1877 ,033 ,944 S KENWOOD AVE                ,12X60            ,$3356.26,$167.22,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28128775652584,-76.57694611556997
98014,15,10,2951 ,024 ,3707 COLUMBUS DR                 ,26-4X90          ,$2861.70,$142.58,PRINCIPAL RESIDENCE      ,,03/25/2015,39.337795681526586,-76.67608644443305
89706,16,60,2491A,043 ,622 N AUGUSTA AVE                ,20X100           ,$1953.51,$97.33,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29476933054127,-76.68504580002286
136268,9,30,4078 ,013 ,616 HOMESTEAD ST                 ,60X100           ,$5443.15,$271.19,NOT A PRINCIPAL RESIDENCE,$111.57,03/25/2015,39.326757037608274,-76.60729976257318
41840,4,110,1350 ,145 ,414 WATER ST U# 1906             ,630 SQ FT        ,$3596.80,$179.20,PRINCIPAL RESIDENCE      ,,03/25/2015,39.288648017692935,-76.60922170641584
52520,7,190,1610 ,048 ,2628 E MADISON ST                ,13X70            ,$644.43,$32.11,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30000834461049,-76.58000210990866
28592,21,50,0778 ,029 ,1350 CARROLL ST                  ,12X66            ,$1573.60,$78.40,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.27913387482954,-76.63521863812883
176920,27,90,5267O,528 ,1660 BURNWOOD ROAD               ,31X104-6         ,$3156.19,$157.25,PRINCIPAL RESIDENCE      ,$31.24,03/25/2015,39.35362811035009,-76.58413504509548
223309,25,50,7470P,029 ,2957 MALLVIEW ROAD               ,16X108-8         ,$2641.40,$131.60,PRINCIPAL RESIDENCE      ,,03/25/2015,39.25207398852484,-76.64168261426045
107684,15,320,3324 ,039 ,3607 REISTERSTOWN ROAD           ,20X117-4         ,$337.20,$16.80,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.329149851185775,-76.6604148575588
113383,13,120,3503 ,058 ,704 SINGER AVE                   ,15-2X130-2       ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32599711857324,-76.6283898538079
185331,27,40,5570B,048 ,3314 ORLANDO AVE                 ,64X137           ,$2994.34,$149.18,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36388702047071,-76.54006089219564
210689,26,90,6436 ,037 ,3905 FLEET ST                    ,0.025 ACRES      ,$6845.16,$341.04,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28567360985028,-76.56415919139278
182198,27,380,5451 ,001 ,2605 E NORTHERN PKWY             ,125X128          ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.365647444275226,-76.5596581924708
127907,9,190,3945 ,001A,3403 LAKE MONTEBELLO DR          ,15X106-2         ,$2875.19,$143.25,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32999485328094,-76.58345671255643
121073,12,10,3701C,003 ,305 TUSCANY ROAD                 ,33-8X112         ,$9870.23,$491.76,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33977823158119,-76.62426973935618
89169,16,180,2483 ,021 ,610 N HILTON ST                  ,21-5X90          ,$606.96,$30.24,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29459714454367,-76.67279019531048
48415,8,150,1522 ,063 ,2619 E HOFFMAN ST                ,14-1X65          ,$323.71,$16.13,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30694319137626,-76.5804997875344
133784,9,130,4013A,032 ,2015 CECIL AVE                   ,14X100           ,$509.55,$25.39,NOT A PRINCIPAL RESIDENCE,$608.59,03/25/2015,39.313372201866684,-76.60522513633015
235645,28,20,8275 ,041 ,5503 HADDON AVE                  ,50X120           ,$2073.40,$103.30,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33674787871274,-76.7030798969189
65491,2,70,1830 ,047 ,625 S WOLFE ST                   ,15X43            ,$5008.54,$249.54,PRINCIPAL RESIDENCE      ,,03/25/2015,39.283953302104294,-76.58993584046584
164410,27,110,5022 ,017 ,333 BROADMOOR ROAD               ,66X139-8         ,$5314.27,$264.77,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35626335147356,-76.61265882534371
124592,12,160,3838 ,024 ,2646 GUILFORD AVE                ,16X154           ,$4219.50,$210.22,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32064854549509,-76.61305626813146
190654,27,20,5774 ,015G,3017 GIBBONS AVE                 ,55-11X268-1      ,$5637.98,$280.90,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35019565260836,-76.56109387288313
154676,27,200,4605A,023 ,4900 DENMORE AVE                 ,13-9X113-1       ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.34491817633386,-76.67269128337523
40860,10,90,1237 ,016 ,712 ENSOR ST                     ,12X99-6          ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.298462865070235,-76.60405262272957
185578,27,40,5582 ,002 ,4105 CHESLEY AVE                 ,30X145           ,$3623.78,$180.54,PRINCIPAL RESIDENCE      ,,03/25/2015,39.3585232956147,-76.52971689901489
76813,20,70,2152 ,013C,40 S CALVERTON ROAD              ,0.023 ACRES      ,$382.16,$19.04,NOT A PRINCIPAL RESIDENCE,$448.18,03/25/2015,39.28742119223534,-76.65316797032477
49092,8,150,1537 ,059 ,1207 N MONTFORD AVE              ,13-10X73         ,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,$79.08,03/25/2015,39.30492334463776,-76.58406511381315
200764,26,440,6072G,016 ,5469 BUCKNELL ROAD               ,`8X100-1         ,$2448.07,$121.97,PRINCIPAL RESIDENCE      ,,03/25/2015,39.333668573946625,-76.53365286108988
121784,12,10,3702 ,916 ,4100 N CHARLES ST U# 1001        ,1885.33 S.F.     ,$5170.40,$257.60,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33883998777628,-76.61838619286772
1476,15,80,0026 ,007 ,1412 N FULTON AVE                ,13X67            ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30454688123467,-76.64613606782444
122390,12,180,3732 ,018 ,3601 GREENWAY U# 110             ,1714 SQ FT       ,$3034.80,$151.20,NOT A PRINCIPAL RESIDENCE,$3467.22,03/25/2015,39.33193894113032,-76.61566004017789
15517,21,20,0283 ,026 ,856 RYAN ST                      ,0.033 ACRES      ,$6993.53,$348.43,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28425750228297,-76.63105423386497
213890,26,10,6650 ,006 ,811 PONCA ST                     ,15X85            ,$2310.94,$115.14,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28371320470171,-76.55471497981165
216061,26,10,6826 ,155 ,1351 BROENING HWY                ,14X127-10        ,$1825.38,$90.94,PRINCIPAL RESIDENCE      ,,03/25/2015,39.27813968599878,-76.543664681579
213440,26,30,6573 ,010 ,818 PONCA ST                     ,15-6X70          ,$3031.05,$151.01,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28353837649598,-76.55477558692297
42226,3,40,1359 ,132 ,130 S EXETER ST                  ,0.026 ACRES      ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.2883135139586,-76.6017985070946
159732,27,190,4798 ,079 ,2807 RUSCOMBE LANE               ,44X111           ,$2398.62,$119.50,PRINCIPAL RESIDENCE      ,,03/25/2015,39.34815366096376,-76.66394988118128
184512,27,40,5548 ,050 ,3228 WOODHOME AVE                ,46-8X150         ,$3311.30,$164.98,PRINCIPAL RESIDENCE      ,,03/25/2015,39.36393713788971,-76.54185113122395
183778,27,40,5498 ,024 ,3002 GLENDALE AVE                ,54X125-8         ,$2907.41,$144.85,PRINCIPAL RESIDENCE      ,,03/25/2015,39.3702064719522,-76.545030670828
115587,13,20,3553 ,005 ,1019 W 38TH ST                   ,30X60            ,$4461.54,$222.28,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33415342993794,-76.63420929752027
216167,26,10,6855 ,060 ,1421 BROENING HWY                ,14X131-9         ,$1246.90,$62.12,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.27729235286091,-76.54363554354472
126375,12,200,3877 ,021 ,3238 ABELL AVE                   ,14-5X100         ,$3500.14,$174.38,PRINCIPAL RESIDENCE      ,,03/25/2015,39.32794819955086,-76.61217630039516
104783,15,160,3210 ,112 ,1923 CLIFTON AVE                 ,14X70            ,$472.08,$23.52,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.31188266645296,-76.64897993727351
194484,26,400,5902A,011 ,3401 MANNASOTA AVE               ,167-11X66-9      ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.32086533247019,-76.5699378418571
133120,9,130,4008 ,011 ,1921 SHERWOOD AVE                ,12X59-6          ,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,03/25/2015,39.31254235154938,-76.60087541416823
135040,9,200,4056 ,001 ,600 E 35TH ST                    ,16X105           ,$2470.55,$123.09,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.33089813144471,-76.60807483428539
100639,15,270,3063 ,001B,2505 GARRISON BLVD               ,24X142-3         ,$22.48,$1.12,NOT A PRINCIPAL RESIDENCE,$26.36,03/25/2015,39.31648763779532,-76.6769058059574
163959,27,670,5005 ,024A,113 SAINT DUNSTANS ROAD          ,72X131-6         ,$12042.54,$599.98,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35977389914723,-76.62215548538654
53988,7,170,1643 ,006 ,611 N LAKEWOOD AVE               ,13-6X68          ,$554.51,$27.63,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.29814351221438,-76.57937506030999
56142,6,10,1675 ,010 ,419 N LAKEWOOD AVE               ,14X70            ,$2040.44,$101.66,PRINCIPAL RESIDENCE      ,,03/25/2015,39.29619243123682,-76.57926550130105
221047,25,60,7245B,013 ,3825 10TH ST                     ,15-4X83-6        ,$1881.58,$93.74,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.23166572639326,-76.59710145956393
101451,15,240,3100F,010 ,3496 DOLFIELD AVE                ,23X110           ,$2663.88,$132.72,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33380144338298,-76.6733975893265
139765,8,20,4156 ,020 ,1814 E NORTH AVE                 ,14X70            ,$337.20,$16.80,PRINCIPAL RESIDENCE      ,$320.70,03/25/2015,39.312261499569615,-76.59252638168635
136711,9,160,4098 ,015B,1355 GORSUCH AVE                 ,16X90            ,$690.14,$34.38,PRINCIPAL RESIDENCE      ,,03/25/2015,39.323965616621024,-76.59910615452463
194884,26,390,5911B,009 ,3217 KENTUCKY AVE                ,15-4X81-6        ,$1124.00,$56.00,NOT A PRINCIPAL RESIDENCE,$1329.25,03/25/2015,39.32239682575397,-76.56879796285489
198428,26,220,6042B,042 ,5617 MAYVIEW AVE                 ,57X100           ,$2940.38,$146.50,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33510332895656,-76.54045950050477
113876,13,30,3518B,034 ,3613 ASH ST                      ,24-2X110-11      ,$2747.06,$136.86,PRINCIPAL RESIDENCE      ,,03/25/2015,39.3302512679827,-76.64015811320553
128538,9,150,3960 ,018 ,1703 E 32ND ST                   ,19-11X95         ,$1500.16,$74.74,PRINCIPAL RESIDENCE      ,,03/25/2015,39.326773354907516,-76.59180067286195
2593,16,50,0049 ,052 ,1924 RIGGS AVE                   ,14X80            ,$269.76,$13.44,PRINCIPAL RESIDENCE      ,,03/25/2015,39.30088831324616,-76.64888203347829
60517,2,30,1744 ,070 ,1745 - 1747 E LOMBARD ST         ,34-4X80          ,$4513.98,$224.90,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28639264660444,-76.64175807367536
112801,13,100,3461 ,021 ,2418 LAKEVIEW AVE                ,16X141-9         ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.315219551442226,-76.63264633426013
176172,27,460,5267J,175 ,1316 KITMORE ROAD                ,27-10X133-2      ,$2632.41,$131.15,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35073762004623,-76.59582871112531
42751,3,50,1404 ,118 ,250 PRESIDENT ST U# 613          ,993 SQ FT        ,$2248.00,$112.00,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28632655812527,-76.60379521337757
209207,26,170,6344 ,018 ,427 FOLCROFT ST                  ,14-10X90         ,$2337.92,$116.48,PRINCIPAL RESIDENCE      ,,03/25/2015,39.288442885931545,-76.5418453036171
142495,26,370,4179G,194 ,3838 ELMLEY AVE                  ,26-3X100         ,$1978.24,$98.56,PRINCIPAL RESIDENCE      ,,03/25/2015,39.31786761420011,-76.5643340195985
200574,26,440,6072D,010 ,5428 BUCKNELL ROAD               ,50-1X97-3        ,$2645.90,$131.82,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.333092806389004,-76.53350483987566
202569,26,340,6128 ,021 ,3940 KENYON AVE                  ,16-1X113-6       ,$1780.42,$88.70,PRINCIPAL RESIDENCE      ,,03/25/2015,39.31643868589771,-76.56154492965396
196452,26,420,5942 ,015 ,4400 MARX AVE                    ,42-2X111-7       ,$3740.67,$186.37,PRINCIPAL RESIDENCE      ,,03/25/2015,39.330645214206356,-76.55735488391997
20051,17,10,0396 ,038 ,1315 - 1327 DIVISION ST          ,103X172          ,,,NOT A PRINCIPAL RESIDENCE,,03/25/2015,52.37060819700048,5.218165776000433
115897,13,10,3561 ,079 ,3910 ELM AVE                     ,13X90            ,$2731.32,$136.08,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.33553806842821,-76.63156589684786
161344,27,160,4907 ,007 ,9 BEECHDALE ROAD                 ,72X156-7         ,$13258.70,$660.58,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35355351698229,-76.63588764649688
164068,27,670,5010 ,023 ,5217 PURLINGTON WAY              ,72X146-2         ,$12564.07,$625.97,PRINCIPAL RESIDENCE      ,,03/25/2015,39.35846735058885,-76.61776496997658
26179,4,110,0649 ,003 ,101 E BALTIMORE ST               ,34-8X68-9        ,$38332.90,$1909.82,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.28954313720709,-76.6134991653534
73122,24,80,1946 ,018J,1828 WEBSTER ST                  ,0.031 ACRES      ,$10244.14,$510.38,PRINCIPAL RESIDENCE      ,,03/25/2015,39.26900783414533,-76.60414586443932
228415,25,30,7841B,011 ,2457 WASHINGTON BLVD             ,15X112           ,$2344.66,$116.82,PRINCIPAL RESIDENCE      ,,03/25/2015,39.2670078012701,-76.65207089725328
84625,16,230,2366 ,001 ,WS WARWICK AV SWC RIGGS AV       ,15-6X100         ,$33.72,$1.68,NOT A PRINCIPAL RESIDENCE,,03/25/2015,,
28733,21,60,0779 ,109 ,1227 WARD ST                     ,0.024 ACRES      ,$449.60,$22.40,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28095331664332,-76.63380104218356
213287,26,30,6570C,087 ,4507 FOSTER AVE                  ,0.021 ACRES      ,$5491.86,$273.62,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28493198302567,-76.5577577307339
135464,9,200,4059 ,034 ,608 MCKEWIN AVE                  ,13-11X91         ,$2254.74,$112.34,PRINCIPAL RESIDENCE      ,,03/25/2015,39.33296809560221,-76.60702819699287
91892,28,50,2528C,140 ,1219 WICKLOW ROAD                ,18X102           ,$2128.86,$106.06,NOT A PRINCIPAL RESIDENCE,$2507.77,03/25/2015,39.29863903056787,-76.69188362882562
211843,26,80,6466 ,013 ,3807 HUDSON ST                   ,14X70-3          ,$3664.24,$182.56,PRINCIPAL RESIDENCE      ,,03/25/2015,39.28261295342617,-76.56468950361688
46312,8,180,1478 ,040 ,1518 N WOLFE ST                  ,13-10X70         ,$67.44,$3.36,NOT A PRINCIPAL RESIDENCE,,03/25/2015,39.30805859442967,-76.59151628564729
